Id,Day,Calories,Steps,TotalMinutesAsleep,IntensityGroup,FitnessGroup
1503960366,2016-04-12,1985,13162,327.0,1,3
1503960366,2016-04-13,1797,10735,384.0,1,3
1503960366,2016-04-15,1745,9762,412.0,0,3
1503960366,2016-04-16,1863,12669,340.0,1,3
1503960366,2016-04-17,1728,9705,700.0,1,2
1503960366,2016-04-19,2035,15506,304.0,1,3
1503960366,2016-04-20,1786,10544,360.0,1,3
1503960366,2016-04-21,1775,9819,325.0,1,3
1503960366,2016-04-23,1949,14371,361.0,1,3
1503960366,2016-04-24,1788,10039,430.0,1,3
1503960366,2016-04-25,2013,15355,277.0,1,3
1503960366,2016-04-26,1970,13755,245.0,1,3
1503960366,2016-04-28,1898,13154,366.0,1,3
1503960366,2016-04-29,1837,11181,341.0,1,3
1503960366,2016-04-30,1947,14673,404.0,1,3
1503960366,2016-05-01,1820,10602,369.0,0,3
1503960366,2016-05-02,2004,14727,277.0,1,3
1503960366,2016-05-03,1990,15103,273.0,1,3
1503960366,2016-05-05,1959,14070,247.0,1,3
1503960366,2016-05-06,1896,12159,334.0,1,3
1503960366,2016-05-07,1821,11992,331.0,0,3
1503960366,2016-05-08,1740,10060,594.0,1,2
1503960366,2016-05-09,1819,12022,338.0,1,3
1503960366,2016-05-10,1859,12207,383.0,1,3
1503960366,2016-05-11,1783,12770,285.0,1,3
1644430081,2016-04-29,2498,3176,119.0,0,0
1644430081,2016-04-30,3846,18213,124.0,0,0
1644430081,2016-05-02,2580,3758,796.0,0,2
1644430081,2016-05-08,2987,6724,137.0,0,0
1844505072,2016-04-15,1725,3844,644.0,0,2
1844505072,2016-04-30,1763,4014,722.0,0,2
1844505072,2016-05-01,1541,2573,590.0,0,2
1927972279,2016-04-12,2220,678,750.0,0,2
1927972279,2016-04-13,2151,356,398.0,0,2
1927972279,2016-04-15,2221,980,475.0,0,2
1927972279,2016-04-26,2638,3761,296.0,0,0
1927972279,2016-04-28,2351,1675,166.0,0,0
2026352035,2016-04-12,1459,4414,503.0,0,2
2026352035,2016-04-13,1521,4993,531.0,0,2
2026352035,2016-04-14,1431,3335,545.0,0,2
2026352035,2016-04-15,1444,3821,523.0,0,2
2026352035,2016-04-16,1373,2547,524.0,0,2
2026352035,2016-04-17,1214,838,437.0,0,2
2026352035,2016-04-19,1356,2424,498.0,0,2
2026352035,2016-04-20,1667,7222,461.0,0,2
2026352035,2016-04-21,1370,2467,477.0,0,2
2026352035,2016-04-22,1399,2915,520.0,0,2
2026352035,2016-04-23,1916,12357,522.0,0,3
2026352035,2016-04-24,1401,3490,555.0,0,2
2026352035,2016-04-25,1576,6017,506.0,0,2
2026352035,2016-04-27,1593,6088,508.0,0,2
2026352035,2016-04-28,1649,6375,513.0,0,2
2026352035,2016-04-29,1692,7604,490.0,0,2
2026352035,2016-04-30,1506,4729,573.0,0,2
2026352035,2016-05-01,1447,3609,527.0,0,2
2026352035,2016-05-02,1690,7018,511.0,0,2
2026352035,2016-05-04,1658,6564,538.0,0,2
2026352035,2016-05-05,1926,12167,468.0,0,3
2026352035,2016-05-06,1736,8198,524.0,0,2
2026352035,2016-05-07,1491,4193,511.0,0,2
2026352035,2016-05-08,1555,5528,541.0,0,2
2026352035,2016-05-09,1869,10685,531.0,0,3
2026352035,2016-05-10,1141,254,357.0,0,2
2026352035,2016-05-11,1698,8580,523.0,0,2
2026352035,2016-05-12,1364,8891,456.0,0,3
2320127002,2016-04-23,1804,5079,61.0,0,0
2347167796,2016-04-13,2038,10352,467.0,0,3
2347167796,2016-04-14,2010,10129,445.0,0,3
2347167796,2016-04-15,2133,10465,452.0,0,3
2347167796,2016-04-17,1882,5472,556.0,0,2
2347167796,2016-04-18,1944,8247,500.0,0,2
2347167796,2016-04-19,2346,6711,465.0,0,2
2347167796,2016-04-21,2048,10080,460.0,0,3
2347167796,2016-04-22,1946,7804,405.0,0,3
2347167796,2016-04-23,2629,16901,374.0,0,3
2347167796,2016-04-24,2187,9471,442.0,0,3
2347167796,2016-04-25,2095,9482,433.0,1,3
2347167796,2016-04-26,1861,5980,436.0,0,2
2347167796,2016-04-27,2194,11423,448.0,1,3
2347167796,2016-04-28,1854,5439,408.0,0,2
2347167796,2016-04-29,403,42,411.0,0,2
3977333714,2016-04-12,1450,8856,274.0,1,3
3977333714,2016-04-13,1495,10035,295.0,0,3
3977333714,2016-04-14,1433,7641,291.0,0,3
3977333714,2016-04-15,1468,9010,424.0,0,3
3977333714,2016-04-16,1625,13459,283.0,0,3
3977333714,2016-04-17,1529,10415,381.0,0,3
3977333714,2016-04-18,1584,11663,412.0,0,3
3977333714,2016-04-19,1638,12414,219.0,0,3
3977333714,2016-04-20,1554,11658,152.0,0,0
3977333714,2016-04-21,1397,6093,332.0,0,3
3977333714,2016-04-22,1481,8911,355.0,1,3
3977333714,2016-04-23,1638,12058,235.0,0,3
3977333714,2016-04-24,1655,14112,310.0,0,3
3977333714,2016-04-25,1570,11177,262.0,1,3
3977333714,2016-04-26,1551,11388,250.0,0,3
3977333714,2016-04-27,1377,7193,349.0,0,3
3977333714,2016-04-28,1407,7114,261.0,1,3
3977333714,2016-04-29,1545,10645,333.0,1,3
3977333714,2016-04-30,1650,13238,237.0,0,3
3977333714,2016-05-01,1501,10414,383.0,1,3
3977333714,2016-05-02,1760,16520,230.0,0,3
3977333714,2016-05-03,1710,14335,292.0,1,3
3977333714,2016-05-04,1628,13559,213.0,0,3
3977333714,2016-05-05,1618,12312,318.0,0,3
3977333714,2016-05-06,1590,11677,323.0,0,3
3977333714,2016-05-07,1574,11550,237.0,0,3
3977333714,2016-05-08,1633,13585,259.0,0,3
3977333714,2016-05-10,1630,13072,312.0,0,3
4020332650,2016-04-12,3654,8539,501.0,0,1
4020332650,2016-04-16,3051,1982,77.0,1,0
4020332650,2016-05-03,2828,4496,322.0,0,1
4020332650,2016-05-04,3879,10252,478.0,0,1
4020332650,2016-05-05,3429,11728,226.0,0,0
4020332650,2016-05-06,2704,4369,385.0,0,2
4020332650,2016-05-08,3089,5862,364.0,0,1
4020332650,2016-05-10,2926,5546,442.0,0,1
4319703577,2016-04-14,2302,10210,535.0,0,3
4319703577,2016-04-15,1985,5664,465.0,0,2
4319703577,2016-04-16,1884,4744,506.0,0,2
4319703577,2016-04-18,1632,2276,515.0,0,2
4319703577,2016-04-19,2200,8925,461.0,0,3
4319703577,2016-04-20,2220,8954,523.0,0,2
4319703577,2016-04-21,1792,3702,59.0,0,0
